File Name,HR Size (W x H),LR Size (W x H),Degrade Factor (x),SR_0.5M,SR_0.5M_res,SR_0.5M_n,REFINED,REFINED_res,REFINED_n,res_0.5M,res_0.5M_res,res_0.5M_n
4xSatSR_00111,3000x3000,750x750,4,SR05M_4xSatSR_00111.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00111.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00112,3000x3000,750x750,4,SR05M_4xSatSR_00112.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00112.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00113,3000x3000,750x750,4,SR05M_4xSatSR_00113.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00113.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00114,3000x3000,750x750,4,SR05M_4xSatSR_00114.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00114.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00115,3000x3000,750x750,4,SR05M_4xSatSR_00115.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00115.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00116,3000x3000,750x750,4,SR05M_4xSatSR_00116.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00116.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00117,3000x3000,750x750,4,SR05M_4xSatSR_00117.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00117.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00118,3000x3000,750x750,4,SR05M_4xSatSR_00118.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00118.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00119,3000x3000,750x750,4,SR05M_4xSatSR_00119.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00119.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00120,3000x3000,750x750,4,SR05M_4xSatSR_00120.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00120.png,3000x3000,4.0,N/A,N/A,
